name,gender,ethnicity,city,state,province,country,born,died,creative_role 1,creative_role 2,creative_role 3,creative_role 4,creative_role 5,creative_role 6,creative_role 7,creative_role 8,creative_role 9,creative_role 10,comic_titles 1,comic_titles 2,comic_titles 3,comic_titles 4,comic_titles 5,comic_titles 6,comic_titles 7,comic_titles 8,comic_titles 9,comic_titles 10,comic_titles 11,comic_titles 12,comic_titles 13,comic_titles 14,genres 1,genres 2,genres 3,genres 4,genres 5,genres 6,genres 7,genres 8,website1,website2,twitter,image
Andie Tong,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mainstream,,,,,,,,http://deemonproductions.com/,,,
Andre Joshua Smith,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indie,,,,,,,,http://ajsdraws.tumblr.com/,,https://twitter.com/AJSDraws,
Andre Owens,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mainstream,,,,,,,,http://www.forcegalaxia.com/,,,
Andrí©a Bell,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Web,,,,,,,,http://dreamcaughtcomic.tumblr.com/,,https://twitter.com/Dreaphilia,
Andrea Tsurumi,Female,Half-Japanese,,,,,1985,,Cartoonist,,,,,,,,,,,,,,,,,,,,,,,,Indie,,,,,,,,http://andreatsurumi.com,http://andreatsurumi.tumblr.com,https://twitter.com/andreatsurumi,
Andres Vera Martinez,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indie,,,,,,,,http://www.andresvera.com/,,,
Andy Lee,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel Darí_o Banegas,,Latin American,,,,,,,,,,,,,,,,,20 Aí±os de Humor,,,,,,,,,,,,,,,,,,,,,,,,,
Angel Medina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mainstream,,,,,,,,http://www.angelmedinaart.com/,,,
Angelo Torres,Male,Latin American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mainstream,,,,,,,,,,,
Angie Wang,Female,Asian American,Los Angeles, CA,,United States,,,,,,,,,,,,,The Teacup Tree, Girl Apocalypse,,,,,,,,,,,,,Indie,,,,,,,,http://okchickadee.com/,,https://twitter.com/okchickadee,
Anissa Espinosa,Female,"Half-Mexican, Half Puerto-Rican",,,,,1984,,Writer, Artist,,,,,,,,,"Bee and Puppycat #1 Cover F, #3-4", Bravest Warriors #20 Cover D, Cast No Shadow (First Second Books), Barricade (Beyond Anthology),,,,,,,,,,,Indie,,,,,,,,http://redribbonrobot.tumblr.com/,,https://twitter.com/redribbonrobot,https://pbs.twimg.com/media/CNICkM1U8AAYtyT.jpg
Annie Mok,Female,Asian American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://heyanniemok.tumblr.com/,,https://twitter.com/HeyAnnieMok,http://payload358.cargocollective.com/1/3/116682/9470991/prt_1425336132.jpg
Anthony Brown,Male,African American,,,,,1962,,Writer, Penciler, Inker, Colorist,,,,,,,Destiny or Freewill (Amazon), Vaya Con Dios (Amazon),,,,,,,,,,,,,Super hero, Christian,,,,,,,http://www.bbe4.com/Destiny.html. ,http://www.bbe4.com/html,https://twitter.com/bbe2,
Anthony Ruttgaizer,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Gutií©rrez,Male,Latin American,,,,,,,,,,,,,,,,,Pat In China,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Prohí_as,Male,Latin American,,,,,,,,,,,,,,,,,Spy Vs. Spy,,,,,,,,,,,,,,Strips,,,,,,,,,,,
Anuj Shrestha,Male,,,,,,,,Writer, Artist,,,,,,,,,Genus,,,,,,,,,,,,,,Indie,,,,,,,,http://studygroupcomics.com/main/category/contributor/anuj-shrestha/,,,
April Malig,Female,Asian American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indie,,,,,,,,http://aprilmalig.com/,,https://twitter.com/aprilangelica,
April y Kasulis,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indie,,,,,,,,http://coffeewithyolando.tumblr.com/,,https://twitter.com/yolandogge,
Ariel Olivetti,,Latin American,,,,,,,Artist,,,,,,,,,,,,,,,,,,,,,,,,Mainstream,,,,,,,,,,,
Ariel Ries,Female,Asian Australian,,,,,1994,,Creator,,,,,,,,,,,,,,,,,,,,,,,,Web,,,,,,,,http://www.witchycomic.com/,http://arielries.tumblr.com,https://twitter.com/cousineggplant,
Arielle Jovellanos,Female,Filipina-American,,,,,1991,,Artist, Cartoonist,,,,,,,,,Fresh Romance,,,,,,,,,,,,,,Indie, Romance,,,,,,,http://arielle-jovellanos.com,http://jovaline.tumblr.com,http://twitter.com/joviellety,
Arigon Starr,Female,Native American (Kickapoo Tribe),,,,,,,Writer, Artist, Creator,,,,,,,,Super Indian, Super Indian vol.2,,,,,,,,,,,,,,,,,,,,,http://www.arigonstarr.com/,http://superindiancomics.com/,https://twitter.com/arigonstarr,
Armando Valenzuela,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manga,,,,,,,,http://www.atomiclaundromat.com/,,https://twitter.com/ArmandoVa,
